Dataset Name, Image Name,Position,Channel,i,trap
Pos000000000,img_000000000_01-BF0_000_trap_019.tif,000000000,01-BF0,000,019
Pos000000000,img_000000000_01-BF0_000_trap_022.tif,000000000,01-BF0,000,022
Pos000000000,img_000000000_01-BF0_000_trap_024.tif,000000000,01-BF0,000,024
Pos000000000,img_000000000_01-BF0_000_trap_027.tif,000000000,01-BF0,000,027
Pos000000000,img_000000000_01-BF0_000_trap_028.tif,000000000,01-BF0,000,028
Pos000000000,img_000000000_01-BF0_000_trap_032.tif,000000000,01-BF0,000,032
Pos000000000,img_000000000_01-BF0_000_trap_035.tif,000000000,01-BF0,000,035
Pos000000000,img_000000000_01-BF0_001_trap_019.tif,000000000,01-BF0,001,019
Pos000000000,img_000000000_01-BF0_001_trap_022.tif,000000000,01-BF0,001,022
Pos000000000,img_000000000_01-BF0_001_trap_024.tif,000000000,01-BF0,001,024
Pos000000000,img_000000000_01-BF0_001_trap_027.tif,000000000,01-BF0,001,027
Pos000000000,img_000000000_01-BF0_001_trap_028.tif,000000000,01-BF0,001,028
Pos000000000,img_000000000_01-BF0_001_trap_032.tif,000000000,01-BF0,001,032
Pos000000000,img_000000000_01-BF0_001_trap_035.tif,000000000,01-BF0,001,035
Pos000000000,img_000000000_01-BF0_002_trap_019.tif,000000000,01-BF0,002,019
Pos000000000,img_000000000_01-BF0_002_trap_022.tif,000000000,01-BF0,002,022
Pos000000000,img_000000000_01-BF0_002_trap_024.tif,000000000,01-BF0,002,024
Pos000000000,img_000000000_01-BF0_002_trap_027.tif,000000000,01-BF0,002,027
Pos000000000,img_000000000_01-BF0_002_trap_028.tif,000000000,01-BF0,002,028
Pos000000000,img_000000000_01-BF0_002_trap_032.tif,000000000,01-BF0,002,032
Pos000000000,img_000000000_01-BF0_002_trap_035.tif,000000000,01-BF0,002,035
Pos000000000,img_000000000_03-GFPdouble_000_trap_019.tif,000000000,03-GFPdouble,000,019
Pos000000000,img_000000000_03-GFPdouble_000_trap_022.tif,000000000,03-GFPdouble,000,022
Pos000000000,img_000000000_03-GFPdouble_000_trap_024.tif,000000000,03-GFPdouble,000,024
Pos000000000,img_000000000_03-GFPdouble_000_trap_027.tif,000000000,03-GFPdouble,000,027
Pos000000000,img_000000000_03-GFPdouble_000_trap_028.tif,000000000,03-GFPdouble,000,028
Pos000000000,img_000000000_03-GFPdouble_000_trap_032.tif,000000000,03-GFPdouble,000,032
Pos000000000,img_000000000_03-GFPdouble_000_trap_035.tif,000000000,03-GFPdouble,000,035
Pos000000000,img_000000000_03-GFPdouble_001_trap_019.tif,000000000,03-GFPdouble,001,019
Pos000000000,img_000000000_03-GFPdouble_001_trap_022.tif,000000000,03-GFPdouble,001,022
Pos000000000,img_000000000_03-GFPdouble_001_trap_024.tif,000000000,03-GFPdouble,001,024
