filename,token1,channel,i,trap
img_000000000_01-BF0_000_trap_001.tif,000000000,01-BF0,000,001
img_000000000_01-BF0_000_trap_002.tif,000000000,01-BF0,000,002
img_000000000_01-BF0_000_trap_006.tif,000000000,01-BF0,000,006
img_000000000_01-BF0_000_trap_009.tif,000000000,01-BF0,000,009
img_000000000_01-BF0_000_trap_012.tif,000000000,01-BF0,000,012
img_000000000_01-BF0_000_trap_017.tif,000000000,01-BF0,000,017
img_000000000_01-BF0_000_trap_018.tif,000000000,01-BF0,000,018
img_000000000_01-BF0_000_trap_019.tif,000000000,01-BF0,000,019
img_000000000_01-BF0_000_trap_020.tif,000000000,01-BF0,000,020
img_000000000_01-BF0_000_trap_022.tif,000000000,01-BF0,000,022
img_000000000_01-BF0_000_trap_023.tif,000000000,01-BF0,000,023
img_000000000_01-BF0_000_trap_025.tif,000000000,01-BF0,000,025
img_000000000_01-BF0_000_trap_026.tif,000000000,01-BF0,000,026
img_000000000_01-BF0_000_trap_027.tif,000000000,01-BF0,000,027
img_000000000_01-BF0_000_trap_030.tif,000000000,01-BF0,000,030
img_000000000_01-BF0_000_trap_031.tif,000000000,01-BF0,000,031
img_000000000_01-BF0_000_trap_033.tif,000000000,01-BF0,000,033
img_000000000_01-BF0_000_trap_035.tif,000000000,01-BF0,000,035
img_000000000_01-BF0_000_trap_036.tif,000000000,01-BF0,000,036
img_000000000_01-BF0_000_trap_037.tif,000000000,01-BF0,000,037
img_000000000_01-BF0_000_trap_038.tif,000000000,01-BF0,000,038
img_000000000_01-BF0_000_trap_039.tif,000000000,01-BF0,000,039
img_000000000_01-BF0_001_trap_001.tif,000000000,01-BF0,001,001
img_000000000_01-BF0_001_trap_002.tif,000000000,01-BF0,001,002
img_000000000_01-BF0_001_trap_006.tif,000000000,01-BF0,001,006
img_000000000_01-BF0_001_trap_009.tif,000000000,01-BF0,001,009
img_000000000_01-BF0_001_trap_012.tif,000000000,01-BF0,001,012
img_000000000_01-BF0_001_trap_017.tif,000000000,01-BF0,001,017
img_000000000_01-BF0_001_trap_018.tif,000000000,01-BF0,001,018
img_000000000_01-BF0_001_trap_019.tif,000000000,01-BF0,001,019
img_000000000_01-BF0_001_trap_020.tif,000000000,01-BF0,001,020
img_000000000_01-BF0_001_trap_022.tif,000000000,01-BF0,001,022
img_000000000_01-BF0_001_trap_023.tif,000000000,01-BF0,001,023
img_000000000_01-BF0_001_trap_025.tif,000000000,01-BF0,001,025
img_000000000_01-BF0_001_trap_026.tif,000000000,01-BF0,001,026
img_000000000_01-BF0_001_trap_027.tif,000000000,01-BF0,001,027
img_000000000_01-BF0_001_trap_030.tif,000000000,01-BF0,001,030
img_000000000_01-BF0_001_trap_031.tif,000000000,01-BF0,001,031
img_000000000_01-BF0_001_trap_033.tif,000000000,01-BF0,001,033
img_000000000_01-BF0_001_trap_035.tif,000000000,01-BF0,001,035
img_000000000_01-BF0_001_trap_036.tif,000000000,01-BF0,001,036
img_000000000_01-BF0_001_trap_037.tif,000000000,01-BF0,001,037
img_000000000_01-BF0_001_trap_038.tif,000000000,01-BF0,001,038
img_000000000_01-BF0_001_trap_039.tif,000000000,01-BF0,001,039
img_000000000_01-BF0_002_trap_001.tif,000000000,01-BF0,002,001
img_000000000_01-BF0_002_trap_002.tif,000000000,01-BF0,002,002
img_000000000_01-BF0_002_trap_006.tif,000000000,01-BF0,002,006
img_000000000_01-BF0_002_trap_009.tif,000000000,01-BF0,002,009
img_000000000_01-BF0_002_trap_012.tif,000000000,01-BF0,002,012
img_000000000_01-BF0_002_trap_017.tif,000000000,01-BF0,002,017
img_000000000_01-BF0_002_trap_018.tif,000000000,01-BF0,002,018
img_000000000_01-BF0_002_trap_019.tif,000000000,01-BF0,002,019
img_000000000_01-BF0_002_trap_020.tif,000000000,01-BF0,002,020
img_000000000_01-BF0_002_trap_022.tif,000000000,01-BF0,002,022
img_000000000_01-BF0_002_trap_023.tif,000000000,01-BF0,002,023
img_000000000_01-BF0_002_trap_025.tif,000000000,01-BF0,002,025
img_000000000_01-BF0_002_trap_026.tif,000000000,01-BF0,002,026
img_000000000_01-BF0_002_trap_027.tif,000000000,01-BF0,002,027
img_000000000_01-BF0_002_trap_030.tif,000000000,01-BF0,002,030
img_000000000_01-BF0_002_trap_031.tif,000000000,01-BF0,002,031
img_000000000_01-BF0_002_trap_033.tif,000000000,01-BF0,002,033
img_000000000_01-BF0_002_trap_035.tif,000000000,01-BF0,002,035
img_000000000_01-BF0_002_trap_036.tif,000000000,01-BF0,002,036
img_000000000_01-BF0_002_trap_037.tif,000000000,01-BF0,002,037
img_000000000_01-BF0_002_trap_038.tif,000000000,01-BF0,002,038
img_000000000_01-BF0_002_trap_039.tif,000000000,01-BF0,002,039
img_000000000_03-GFPdouble_000_trap_001.tif,000000000,03-GFPdouble,000,001
img_000000000_03-GFPdouble_000_trap_002.tif,000000000,03-GFPdouble,000,002
img_000000000_03-GFPdouble_000_trap_006.tif,000000000,03-GFPdouble,000,006
img_000000000_03-GFPdouble_000_trap_009.tif,000000000,03-GFPdouble,000,009
img_000000000_03-GFPdouble_000_trap_012.tif,000000000,03-GFPdouble,000,012
img_000000000_03-GFPdouble_000_trap_017.tif,000000000,03-GFPdouble,000,017
img_000000000_03-GFPdouble_000_trap_018.tif,000000000,03-GFPdouble,000,018
