,filename,token1,channel,i,trap,Organism,Term_Source,Term_Accession,Strain,Genotype,Imagetype,Investigation,Study,Assay
0,img_000000000_01-BF0_000_trap_001.tif,0,01-BF0,0,1,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,D1,derived,I2,S2,A5
1,img_000000000_01-BF0_000_trap_003.tif,0,01-BF0,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,X3,derived,I1,S2,A3
2,img_000000000_01-BF0_000_trap_007.tif,0,01-BF0,0,7,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HL,R3,raw,I1,S2,A2
3,img_000000000_01-BF0_000_trap_008.tif,0,01-BF0,0,8,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,STH,X1,raw,I3,S0,A4
4,img_000000000_01-BF0_000_trap_009.tif,0,01-BF0,0,9,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,D2,derived,I1,S0,A2
5,img_000000000_01-BF0_000_trap_012.tif,0,01-BF0,0,12,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,CPH,D0,raw,I2,S0,A8
6,img_000000000_01-BF0_000_trap_014.tif,0,01-BF0,0,14,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,I3,raw,I1,S1,A4
7,img_000000000_01-BF0_000_trap_015.tif,0,01-BF0,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HL,X3,derived,I3,S0,A1
8,img_000000000_01-BF0_000_trap_019.tif,0,01-BF0,0,19,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,I3,derived,I1,S0,A4
9,img_000000000_01-BF0_000_trap_021.tif,0,01-BF0,0,21,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,I0,derived,I2,S0,A3
10,img_000000000_01-BF0_001_trap_001.tif,0,01-BF0,1,1,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,X3,derived,I3,S0,A4
11,img_000000000_01-BF0_001_trap_003.tif,0,01-BF0,1,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,D0,derived,I3,S1,A0
12,img_000000000_01-BF0_001_trap_007.tif,0,01-BF0,1,7,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,X1,raw,I3,S0,A0
13,img_000000000_01-BF0_001_trap_008.tif,0,01-BF0,1,8,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,R2,raw,I3,S0,A2
14,img_000000000_01-BF0_001_trap_009.tif,0,01-BF0,1,9,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,I3,derived,I1,S2,A9
15,img_000000000_01-BF0_001_trap_012.tif,0,01-BF0,1,12,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,I3,raw,I2,S2,A6
16,img_000000000_01-BF0_001_trap_014.tif,0,01-BF0,1,14,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,X3,derived,I1,S0,A4
17,img_000000000_01-BF0_001_trap_015.tif,0,01-BF0,1,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,D,R3,raw,I1,S2,A1
18,img_000000000_01-BF0_001_trap_019.tif,0,01-BF0,1,19,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,X3,derived,I2,S2,A4
19,img_000000000_01-BF0_001_trap_021.tif,0,01-BF0,1,21,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,D3,derived,I1,S2,A6
