filename,token1,channel,i,trap,Organism,Term_Source,Term_Accession,Strain,Genotype,Imagetype,Investigation,Study,Assay
img_000000000_01-BF0_000_trap_002.tif,0,01-BF0,0,2,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HL,X3,derived,I3,S2,A2
img_000000000_01-BF0_000_trap_011.tif,0,01-BF0,0,11,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,X3,derived,I3,S0,A7
img_000000000_01-BF0_000_trap_016.tif,0,01-BF0,0,16,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,I3,raw,I3,S1,A6
img_000000000_01-BF0_001_trap_002.tif,0,01-BF0,1,2,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,D2,raw,I3,S2,A6
img_000000000_01-BF0_001_trap_011.tif,0,01-BF0,1,11,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,D3,derived,I1,S2,A5
img_000000000_01-BF0_001_trap_016.tif,0,01-BF0,1,16,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,D,D1,derived,I2,S2,A0
img_000000000_01-BF0_002_trap_002.tif,0,01-BF0,2,2,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,D,R0,raw,I3,S1,A9
img_000000000_01-BF0_002_trap_011.tif,0,01-BF0,2,11,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,R3,derived,I1,S2,A4
img_000000000_01-BF0_002_trap_016.tif,0,01-BF0,2,16,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,X1,raw,I1,S0,A8
img_000000000_03-GFPdouble_000_trap_002.tif,0,03-GFPdouble,0,2,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,R3,raw,I1,S1,A8
img_000000000_03-GFPdouble_000_trap_011.tif,0,03-GFPdouble,0,11,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,X1,derived,I2,S1,A7
img_000000000_03-GFPdouble_000_trap_016.tif,0,03-GFPdouble,0,16,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,I1,raw,I1,S2,A7
img_000000000_03-GFPdouble_001_trap_002.tif,0,03-GFPdouble,1,2,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,X3,raw,I3,S1,A3
img_000000000_03-GFPdouble_001_trap_011.tif,0,03-GFPdouble,1,11,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HB,X0,raw,I1,S1,A7
img_000000000_03-GFPdouble_001_trap_016.tif,0,03-GFPdouble,1,16,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,RDG,D3,derived,I3,S1,A8
img_000000000_03-GFPdouble_002_trap_002.tif,0,03-GFPdouble,2,2,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HB,X1,raw,I1,S1,A7
img_000000000_03-GFPdouble_002_trap_011.tif,0,03-GFPdouble,2,11,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,R0,raw,I2,S0,A4
img_000000000_03-GFPdouble_002_trap_016.tif,0,03-GFPdouble,2,16,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,R0,raw,I1,S2,A0
img_000000000_04-RFPdouble_000_trap_002.tif,0,04-RFPdouble,0,2,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,D,R2,raw,I3,S0,A1
img_000000000_04-RFPdouble_000_trap_011.tif,0,04-RFPdouble,0,11,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,R1,derived,I1,S2,A2
img_000000000_04-RFPdouble_000_trap_016.tif,0,04-RFPdouble,0,16,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,STH,R0,derived,I3,S0,A6
img_000000000_04-RFPdouble_001_trap_002.tif,0,04-RFPdouble,1,2,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HB,R2,raw,I3,S1,A4
img_000000000_04-RFPdouble_001_trap_011.tif,0,04-RFPdouble,1,11,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HB,R3,raw,I1,S2,A1
img_000000000_04-RFPdouble_001_trap_016.tif,0,04-RFPdouble,1,16,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,CPH,X2,raw,I1,S2,A5
