filename,token1,channel,i,trap,Organism,Term_Source,Term_Accession,Strain,Genotype,Imagetype,Investigation,Study,Assay
img_000000000_01-BF0_000_trap_000.tif,0,01-BF0,0,0,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,R2,derived,I1,S1,A0
img_000000000_01-BF0_000_trap_003.tif,0,01-BF0,0,3,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,STH,X1,raw,I2,S2,A7
img_000000000_01-BF0_000_trap_004.tif,0,01-BF0,0,4,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,X3,raw,I2,S1,A1
img_000000000_01-BF0_000_trap_006.tif,0,01-BF0,0,6,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,CPH,I0,raw,I1,S2,A9
img_000000000_01-BF0_000_trap_007.tif,0,01-BF0,0,7,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,D,I0,derived,I3,S0,A9
img_000000000_01-BF0_000_trap_008.tif,0,01-BF0,0,8,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HL,I2,derived,I2,S1,A6
img_000000000_01-BF0_000_trap_009.tif,0,01-BF0,0,9,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,X3,raw,I1,S1,A6
img_000000000_01-BF0_000_trap_010.tif,0,01-BF0,0,10,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HWI,I2,raw,I1,S1,A2
img_000000000_01-BF0_000_trap_012.tif,0,01-BF0,0,12,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HGW,X3,raw,I1,S0,A5
img_000000000_01-BF0_000_trap_013.tif,0,01-BF0,0,13,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,D,X1,derived,I3,S0,A3
img_000000000_01-BF0_000_trap_014.tif,0,01-BF0,0,14,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HH,D3,raw,I3,S1,A4
img_000000000_01-BF0_000_trap_015.tif,0,01-BF0,0,15,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,STH,R2,raw,I1,S2,A4
img_000000000_01-BF0_000_trap_016.tif,0,01-BF0,0,16,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,R1,derived,I3,S0,A0
img_000000000_01-BF0_000_trap_017.tif,0,01-BF0,0,17,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HST,X2,raw,I2,S1,A5
img_000000000_01-BF0_000_trap_018.tif,0,01-BF0,0,18,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,HRO,I1,derived,I3,S2,A9
img_000000000_01-BF0_000_trap_019.tif,0,01-BF0,0,19,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,K,X1,raw,I1,S0,A7
img_000000000_01-BF0_000_trap_021.tif,0,01-BF0,0,21,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,D,I3,raw,I1,S2,A5
img_000000000_01-BF0_000_trap_023.tif,0,01-BF0,0,23,Oppidum hanseaticum,NCBI_Taxon,NCBI_0000,LG,R3,derived,I3,S2,A1
